When was Shakespeare baptized?	April 26, 1564
What are the chief sources for King Henry IV Part 1 and 2?	"Chronicles of Edward Hall and Holinshed, and Samuel Daniel's historical poem ""The Civil Wars"""
How is John Falstaff presented in Henry IV Part 1?	"As ""the fat woman of Brainfort"""
Why is Henry IV known as Henry Bolingbroke?	He was born at Bolingbroke Castle
Who assists Henry Percy in his rebellion in Henry IV Part 1?	Douglas, Mortimer, and Glendower
Where does Prince Harry kill Hotspur?	At Shrewsbury
Who leads the rebellion in Henry IV Part 2?	Archbishop Scrope, Mowbray, and Hastings
When was King Henry V written?	1599
What year was King Henry V first printed?	1600
Which edition of King Henry V omitted the Choruses?	The 1600 edition
Who played the role of King Henry in a notable performance?	Laurence Olivier
Who sends the gift of 'tennis ball' to Henry V?	The Dauphin
Who are the three traitors exposed by Henry V?	Scorpe, Grey, and Cambridge
Where does Henry V capture and achieve victory?	Harfleur
Who does Henry V marry?	Catherine of Valois
What major treaty did Henry V create?	The Treaty of Canterbury
Who does Catherine of Valois secretly marry after Henry V’s death?	Owen Tudor
Who is the grandson of Owen Tudor?	Henry VII
Who succeeded Henry V after his death?	His son Henry VI
Who demonstrates Henry V’s claim to the throne of France?	The Archbishop of Canterbury
Who is Henry IV married to?	Mary Debohun
Which castle was Henry Bolingbroke born in?	Bolingbroke Castle
Who declared himself the Prince of Wales in 1400?	Glendower
Who helps Henry IV to crush the rebellion at Shrewsbury?	Prince Harry (Hal)
Who was the chief source for the plays of Henry VI?	Chronicles of Edward Hall and Holinshed
Which play deals with the funeral of Henry V?	Henry VI Part 1
In which part does Joan of Arc appear?	Henry VI Part 1
Who was killed in the Battle of Bordeaux in Henry VI Part 1?	Talbot and his son John Terry
What major event occurs in Henry VI Part 2?	Marriage of Prince Henry VI and Margaret
Who instigates Jack Cade to rebellion in Henry VI Part 2?	Richard, Duke of York
Who is arrested for High Treason in Henry VI Part 2?	Duke of Gloucester
Who is disinherited by Henry in Henry VI Part 3?	Margaret's son
Which battle marks the decisive victory for Edward. IV in Henry VI Part 3?	Battle of Tewkesbury
Who is responsible for the murder of King Henry in Henry VI Part 3?	Richard, Duke of Gloucester
When was Richard III written and performed?	Between 1592 and 1593
Who presented the image of Richard III as a Machiavellian tyrant?	Sir Thomas More
In Richard III, who is Richard determined to succeed to the throne after?	Edward IV
Who is murdered by Richard III early in the play?	Duke of Clarence
What famous line does Richard say at the beginning of Richard III?	Now is the winter of our discontent
Which chronicles served as the main sources for Richard III?	Chronicles of Edward Hall and Holinshed
In Henry VI Part 1, which scene establishes the opposition of Plantagenet and York?	Temple Garden scene
Who kills Jack Cade in Henry VI Part 2?	Alexander Hiden
Who emerges as an ambitious schemer in Henry VI Part 3?	Richard, Duke of Gloucester
Who kills Margaret's son in Henry VI Part 3?	Richard, Duke of Gloucester
Who is imprisoned in the Tower in Henry VI Part 3?	King Henry
In Richard III, who is determined to make the throne his own?	Richard, Duke of Gloucester
Which battle sees Warwick killed in Henry VI Part 3?	Battle of Barnet
Who marries the widow Elizabeth Gray in Henry VI Part 3?	Edward IV
Who becomes King after Henry VI is captured in Henry VI Part 3?	Edward IV
Who is wooed and later married by Richard III?	Anne, widow of Edward, Prince of Wales
Who supports Richard III in his attacks on the Queen's family?	Duke of Buckingham
Which three characters are executed under Richard III's orders?	Hastings, Gray, and Rivers
Who persuades citizens to proclaim Richard III as king of England?	Duke of Buckingham
Who rebels against Richard III and joins Henry Tudor, Earl of Richmond?	Duke of Buckingham
Who kills Richard III at the Battle of Bosworth?	Henry Tudor
When was Richard II first written and performed?	1595
Which edition of Richard II contains the ‘deposition scene’?	Quarto edition (1608)
Who was the main source for Richard II?	"Chronicles of Holinshed and Samuel Daniel's narrative poem ""The Civil Wars"""
Who does King Richard exile for life in Richard II?	Thomas Mowbray
Who does Bolingbroke defeat at Berkeley Castle?	Duke of York
Where does Richard withdraw to when Bolingbroke returns?	Wales
What does Bolingbroke accept from Richard at Flint Castle?	His crown
Who plots to kill Bolingbroke in Richard II?	The Earl of Carliste and Aumerle
In Richard II, where is Richard transferred after being sent to the Tower?	Pomfret Castle
What is the basis of King John or The Life and Death of King John?	An anonymous play entitled The Troublesome Reign of John King of England
Which play was the first to be filmed in 1899?	King John
What was Henry VIII originally acted as?	All Is True
What caused the burning of the Globe Theatre in June 1613?	A fire of cannon
What does Henry VIII deal with?	All of the above
What title is conferred on Henry VIII in the play?	Defender of the Faith
Who is the mother of Elizabeth I?	Anne Boleyn
How many wives did Henry VIII have?	Six
Which wife of Henry VIII was the mother of Elizabeth I?	Anne Boleyn
What are the chief sources of Henry VIII?	Chronicles of Holinshed and Foxe's Acts and Monuments
What is Shakespeare's first Roman tragedy?	Titus Andronicus
Who was Titus Andronicus probably written with?	George Peele
What are the main sources of Titus Andronicus?	Seneca's Thyestes and Troades, Euripides' Hecuba
How did critic Edward Ravenscroft describe Titus Andronicus?	It seems rather a heap of rubbish than a structure
Which play is considered Shakespeare's first comedy?	The Two Gentlemen of Verona
What is the main source of The Two Gentlemen of Verona?	The story of Felix and Felismena in the Diana of Jorge de Montemayor
Which series does The Two Gentlemen of Verona belong to?	Romantic comedies
The Two Noble Kinsmen is based on which literary work?	The Knight's Tale by Chaucer
When was The Two Noble Kinsmen published?	1634
What genre does Twelfth Night belong to?	Comedy
What was the immediate source of Twelfth Night?	The History of Apolonius and Silla in Barnaby Rich's Riche his Farewell to Military Profession
What modern movie is based on Twelfth Night?	She's the Man
What term of contempt is Malvolio called in Twelfth Night?	Pegaramsay
What kind of comedy is The Taming of the Shrew considered?	Lowromantic comedy
When was The Taming of the Shrew first printed?	1623
What play is considered a source for The Taming of the Shrew?	The Supposes by George Gascoigne
What is the genre of The Tempest?	Romantic drama
What real event is The Tempest based on?	The shipwreck of the SeaVenture in 1609 on the Bermudas
Who noted that The Tempest's plan is regular?	Samuel Johnson
Which novel's title was taken from The Tempest?	Brave New World
What is the genre of The Comedy of Errors?	Comedy
Which play served as a source for The Comedy of Errors?	Plautus' Menaechmi
Where was The Comedy of Errors acted?	Gray's Inn
What is the genre of Love's Labour's Lost?	Comedy of manners
When was Love's Labour's Lost first printed?	1598
How does Love's Labour's Lost end?	With the song of the cuckoo and the owl
Which play showcases Shakespeare's knockabout humour?	The Taming of the Shrew
Which play was first printed in 1594 in quarto form as The Taming of a Shrew?	The Taming of the Shrew
Which play was performed before James I at Whitehall?	The Tempest
What translation contributed to the details of The Tempest?	Arthur Golding's translation of Ovid
How is Love's Labour's Lost described?	The pleasant conceited comedy
What genre is A Midsummer Night's Dream?	Comedy
When was A Midsummer Night's Dream first printed in quarto form?	1600
Which sources contributed to A Midsummer Night's Dream?	"Chaucer's ""Knight's Tale"", Arthur Golding's translation of Ovid, and Apuleius' Golden Ass"
"Which character acts in the 'tragedy of ""Pyramus and Thisbe"" in A Midsummer Night's Dream?"	Nick Bottom
What festival is associated with A Midsummer Night's Dream?	Midsummer Day feast
For what occasion was The Merry Wives of Windsor written or adapted?	George Carey's installation as a Knight of the Garter
How is The Merry Wives of Windsor described?	An uninspired professional farce
When was The Merchant of Venice written?	1596-1597
What is the main source of The Merchant of Venice?	Il pecorne by Giovanni Fiorentino
What type of play is Much Ado About Nothing?	Comedy of manners
Which novella is a source for Much Ado About Nothing?	Matteo Bandello's novella
When was As You Like It first printed?	1623
What is the chief source of As You Like It?	Thomas Lodge's Rosalynd
What was Shakespeare's first romantic tragedy?	Romeo and Juliet
What poem is Romeo and Juliet based on?	The Tragical History of Romeus and Juliet by Arthur Brooke
When was Romeo and Juliet first printed in 'bad quarto'?	1597
When was the 'good quarto! of Romeo and Juliet printed?	1599
What does the play Romeo and Juliet begin with?	A sonnet spoken by the Chorus
What traditional poem features in Romeo and Juliet?	An aubade or dawn poem
What year was The Merry Wives of Windsor first printed in quarto form?	1602
Which play includes the ‘fairytale plot of the caskets'?	The Merchant of Venice
What is the main theme of Much Ado About Nothing?	Love and deception
What type of character is Portia in The Merchant of Venice?	A wealthy heiress
Who features as an ‘Indian changeling boy' in A Midsummer Night's Dream?	Titania's charge
What type of play is Julius Caesar?	Tragedy
What is the major source of Julius Caesar?	Plutarch's Lives of Roman Emperors
What is the cause of the tragedy in Hamlet?	Noble inaction or delay in action
When was Hamlet probably written?	1601
Which text of Hamlet was reconstructed from the memories of the actors?	Bad text (1603)
What are the main sources of Hamlet?	Saxo Grammaticus' Historiae Danicae and Belleforest's Histoires tragiques
How does Horatio describe melodrama in Hamlet?	Carnal, bloody, and unnatural acts
What is the second most filmed story in the world?	Hamlet
When was Troilus and Cressida first printed?	1609
Which critic found Troilus and Cressida hard to characterize?	ST Coleridge
Howis All's Well That Ends Well classified?	Tragicomedy or problem play
What did Francis Meres refer to All's Well That Ends Well as?	Love's Labour's Won
What is the main source of All's Well That Ends Well?	Boccaccio's Decameron
What is the genre of Measure for Measure?	Tragicomedy
Who is said to have adapted and revised Measure for Measure?	Thomas Middleton
What is the chief source of Measure for Measure?	George Whetstone's Promos and Cassandra
What kind of tragedy is Othello?	Domestic tragedy of suspicion
Who described Iago's soliloquy as ‘the motivehunting of motiveless malignity'?	ST Coleridge
What is the source of the story of Othello?	Cinzio's Hecatommithi
When was King Lear written?	16041605
How is King Lear classified?	Tragedy of pride and selfwill
When was King Lear performed at court?	1606
What is the moral of Othello, according to Thomas Rymer?	A warning to all good wives that they look well to their linen
Which play is based on Saxo Grammaticus' Historiae Danicae?	Hamlet
Which play was first performed before James I at Whitehall?	Othello
What is the source of the Gloucester subplot in King Lear?	Sidney's Arcadia
"Who calls King Lear ""the most elemental and primeval of Shakespeare's plays""?"	AC Swinburne
What does King Lear pronounce himself in Act IV?	Every inch a king
Who collaborated with Shakespeare on Timon of Athens?	Thomas Middleton
What type of play is Timon of Athens described as?	Conversational play
What is the primary source material for Timon of Athens?	Plutarch's Life of Antony
How is Macbeth described in terms of its theme?	Tragedy of vaulting ambition
Which historical event is alluded to in Macbeth?	The Gunpowder Plot of 1605
What is Antony and Cleopatra considered in terms of Shakespeare's plays?	The most spacious tragedy
What does Granville Barker say about Antony's character in Antony and Cleopatra?	He is the nemesis of a sensual man.
Which play is considered the last Shakespearean tragedy?	Coriolanus
What is the main source of Coriolanus?	Plutarch's Life of Caius Marius Coriolanus
What type of drama is Pericles, Prince of Tyre?	Romantic drama
Who acts as the Chorus throughout Pericles, Prince of Tyre?	John Gower
What is Pericles, Prince of Tyre symbolic and religious play dealing with?	Death and resurrection
How is Cymbeline classified in the First Folio?	Tragedy
Who described Cymbeline's play as having folly of the fiction and absurdity of the conduct?	Dr. Johnson.
"What line is described as ""the tenderest lines in Shakespeare"" by Tennyson in Cymbeline?"	Hang there like fruit, my soul, Till the tree die!
What is The Winter's Tale notorious for violating?	Unity of time and place
Which playwright's work is the source of The Winter's Tale?	Robert Greene
What is the theme of The Winter's Tale?	The deception of innocents
What term describes the type of literature that The Winter's Tale draws on?	Rogue literature
In which publication was Pericles, Prince of Tyre included in 1664?	The Third Folio
Which character in Pericles, Prince of Tyre is a symbol of purification and death by water?	Marina
"Which Roman tragedy is described as ""the most spacious of Shakespeare's tragedies""?"	Antony and Cleopatra
What year was Cymbeline likely written?	16101611
"Which Shakespearean play is considered a ""conversational play""?"	Timon of Athens
What year was The Winter's Tale written?	16101611
Who collaborated with Shakespeare on Pericles, Prince of Tyre?	George Wilkins
What literary work is the primary source of Cymbeline?	Holinshed's Chronicles
What type of building were theatres Shakespeare’s time?	Small buildings open to the sky
How were scenes often indicated in Shakespeare's plays due to the lack of scenery?	By references within speeches
What was the shape of the stage in Elizabethan theatres?	Polygonal
How many stories high were Elizabethan theatres typically?	Three stories
Where was the Globe Theatre located?	South bank of the river Thames
Who built the original theatre that provided materials for the Globe?	James Burbage
When was the Globe Theatre first built?	1599
What happened to the Globe Theatre in 1644?	It was destroyed to make room for dwellings
What was the seating capacity of the Globe Theatre?	3000 spectators
What was the area at the base of the stage called?	The yard or pit
Who were the “groundlings”?	Audience members who stood in the pit
What was the ceiling under the roof of the Globe Theatre called?	The heavens
Which theatre served a private audience in Elizabethan times?	The Blackfriars
Who owned both the Globe Theatre and The Blackfriars?	Both B and C
Who insisted on building a modern Globe Theatre?	Sam Wanamaker
When did the modern Globe Theatre open?	1997
Who was the first artistic director of the modern Globe?	Mark Rylance
Why were references to natural elements included in Elizabethan plays?	To compensate for the lack of scenery
How did scenes in Elizabethan theatre typically begin and end?	With entrances and exits of actors
What purpose did the upper level behind the stage serve?	Seating for musicians and a balcony for scenes
When was the original Globe Theatre closed down by the Puritans?	1642
What was the ‘apron stage’ in the Globe Theatre?	The stage platform projecting into the yard
In which year was the first Globe Theatre closed?	1603
What material was used to build the original Globe Theatre?	Wood from the earlier theatre
How did the design of the Globe Theatre benefit its acoustics?	The rounded shape helped sound carry better
"Who instigates most of the violence in ""Titus Andronicus""?"	Aaron
Which play features Abraham Slender as a suitor?	The Merry Wives of Windsor
In which play is Achilles portrayed as a former hero who is now lazy?	Troilus and Cressida
"Who is the old servant in ""As You Like It,"" supposedly played by Shakespeare himself?"	Adam
"Who proves to be the lost wife of Egeon and mother of the Antipholus twins in ""The Comedy of Errors""?"	Amelia
"Who is one of the Triumvirs after Caesar's death in ""Julius Caesar""?"	Marcus Aemilius Lepidus
"Who is Goneril's husband in ""King Lear""?"	Albany
"Who is the King of Naples in ""The Tempest""?"	Alonso
"Who is the protagonist of ""Titus Andronicus""?"	Titus Andronicus
"Who deputizes for the Duke during his absence from Vienna in ""Measure for Measure""?"	Angelo
"Who is a goldsmith in ""The Comedy of Errors""?"	Angelo
"Who becomes King Henry's second wife in ""Henry VIII""?"	Anne Bullen
"Who is the daughter of Master and Mistress Page in ""The Merry Wives of Windsor""?"	Anne Page
"Who is wooed by Richard over the dead body of her late fatherinlaw in ""Richard III""?"	Lady Anne
"Who orders the death of Pericles in ""Pericles""?"	Antiochus
"Who is the title character in ""The Merchant of Venice""?"	Antonio
"Who is the brother of Leonato in ""Much Ado About Nothing""?"	Antonio
"Who rescues Sebastian in ""Twelfth Night""?"	Antonio
"Who conspires to murder Alonso in ""The Tempest""?"	Antonio
"Who is Proteus’ father in ""The Two Gentlemen of Verona""?"	Antonio
"Who are the title characters of ""The Two Noble Kinsmen""?"	Palamon and Arcite
"Who serves Prospero in ""The Tempest""?"	Ariel
"Who is the first wife of King Henry in ""Henry VIII""?"	Katherine of Aragon
"Who is also known as Cadwal in ""Cymbeline""?"	Arviragus
"Who marries Touchstone in ""As You Like It""?"	Audrey
"Whois a rogue, singer, and villainous character in ""The Winter's Tale""?"	Autolycus
"Who is Romeo's servant in ""Romeo and Juliet""?"	Balthasar
"Who attends on Don Pedro and is a singer in ""Much Ado About Nothing""?"	Balthasar
"Who is a merchant in ""The Comedy of Errors""?"	Balthasar
"Who is a servant of Portia in ""The Merchant of Venice""?"	Balthasar
"Who is later murdered on Macbeth's orders and haunts him as a ghost in ""Macbeth""?"	Banquo
"Who is the suitor of Portia in ""The Merchant of Venice""?"	Bassanio
"Who is murdered by Chiron and Demetrius in ""Titus Andronicus""?"	Bassianus
"Who are the central characters that fall in love in ""Much Ado About Nothing""?"	Beatrice and Benedick
"Who falls in love with Rosaline in ""Love's Labour's Lost""?"	Berowne
"Who is married to Helena in ""All's Well That Ends Well""?"	Bertram
"Who eventually marries Lucentio in ""The Taming of the Shrew""?"	Bianca
"Who is Michael Cassio's mistress in ""Othello""?"	Bianca
Who leads a revolt against King Richard and becomes King Henry IV?	Bolingbroke
"Who is a servant of Don John and a villain in ""Much Ado About Nothing""?"	Borachio
"Who plays Pyramus in ""A Midsummer Night's Dream""?"	Nick Bottom
"Who is one of the conspirators against Caesar in ""Julius Caesar""?"	Decius Brutus
"Who conspires against Caesar's life and stabs him in ""Julius Caesar""?"	Marcus Brutus
"Who becomes King Henry's second wife in ""Henry VIII""?"	Anne Bullen
"Who is the eponymous protagonist of ""Julius Caesar""?"	Julius Caesar
"Who commissions Brutus to the conspirators' ranks in ""Julius Caesar""?"	Caius Cassius
Who earns the title ‘Coriolanus' in recognition of his skill at beating Volscians?	Caius Martius Coriolanus
Who persuades Othello that Cassio is having an affair with Desdemona?	Iago
"Who calls herself 'Aliena’ while in selfimposed exile in ""As You Like It""?"	Celia
"Who is a fusion of two historical Lords Chamberlain in ""Henry VIII""?"	Lord Chamberlain
"Who dies by snakebite in ""Antony and Cleopatra""?"	Charmian
"Who is one of the conspirators against Caesar in ""Julius Caesar""?"	Cinna
"Whois a poet mistaken for a conspirator in ""Julius Caesar"" and killed for his ""bad verses""?"	Cinna
"Who commits suicide by a poisonous snake's bite in ""Antony and Cleopatra""?"	Cleopatra
"Who resolves to rape Imogen in ""Cymbeline""?"	Cloten
"Who is alternatively named Corambis in ""Hamlet""?"	Polonius
Who is the youngest daughter of King Lear and marries the King of France?	Cordelia
"Who puts out Gloucester's eyes in ""King Lear""?"	The Duke of Cornwall
"Who is the Trojan prince that falls in love with Cressida in ""Troilus and Cressida""?"	Troilus
"Who is the king of the Britons and the title character in ""Cymbeline""?"	Cymbeline
"Who marries Helena at the end of ""A Midsummer Night's Dream""?"	Demetrius
"Who are the two sons of Tamora in ""Titus Andronicus""?"	Demetrius and Chiron
"Who is strangled by Othello at the end of ""Othello""?"	Desdemona
"Who pretends to agree to sleep with Bertram in ""All's Well That Ends Well""?"	Diana
"Who appears to Pericles in a vision in ""Pericles""?"	Diana
"Who is notorious for his use of 'malapropism' in ""Much Ado About Nothing""?"	Dogberry
"Who delivers the famous eulogy ""This sceptred isle..."" in ""Richard II""?"	John of Gaunt
"Whois the true duke usurped by his brother in ""As You Like It""?"	Duke Senior
"Who is killed on the orders of Queen Margaret in the ""Henry VI"" trilogy?"	Richard, Duke of York
"Who is the father of Edgar and Edmund in ""King Lear""?"	Gloucester
"Who disguises himself as 'Poor Tom! in ""King Lear""?"	Edgar
"Who is the most calculating of the villains in ""King Lear""?"	Edmund
"Who is the queen to Edward IV in ""Henry VI Part 3"" and ""Richard III""?"	Queen Elizabeth
"Who is murdered by Iago at the end of ""Othello""?"	Emilia
"Who is Hippolyta's sister in ""The Two Noble Kinsmen""?"	Emilia
"Who attends on Hermione in ""The Winter's Tale""?"	Emilia
"Who abandons Antony to join Caesar in ""Antony and Cleopatra""?"	Enobarbus
"Who kills himself rather than obey Antony's order to kill him in ""Antony and Cleopatra""?"	Eros
"Who falls in love with Miranda in ""The Tempest""?"	Ferdinand
"Who takes over the throne of Denmark after the death of Hamlet in ""Hamlet""?"	Fortinbras
"Who is the protagonist in ""Richard III"" and a minor character in ""Henry VI""?"	Richard (Duke of Gloucester)
"Who is the eldest daughter of King Lear in ""King Lear""?"	Goneril
"Whois a courtier to Alonso and an idealist in ""The Tempest""?"	Gonzalo
"Who are invited to the Danish court to spy on Hamlet in ""Hamlet""?"	Guildenstern and Rozencrantz
"Who has a closer relationship with Falstaff in the ""Henry IV"" plays and later becomes King Henry V?"	Prince Hal
"Who is the leader of the witches in ""Macbeth""?"	Hecate
"Who is married to Bertram against his will in ""All's Well That Ends Well""?"	Helena
"Who was formerly loved by Demetrius but later rejected in ""A Midsummer Night's Dream""?"	Helena
"Who loves Lysander and is loved by Demetrius in ""A Midsummer Night's Dream""?"	Hermia
"Who appears to return from the dead as a statue in ""The Winter's Tale""?"	Hermione
"Who falls in love with Claudio in ""Much Ado About Nothing""?"	Hero
"Who is the leader of the Amazons and bride of Theseus in ""A Midsummer Night's Dream"" and ""The Two Noble Kinsmen""?"	Hippolyta
"Who is the daughter of the king and wrongly accused of infidelity in ""Cymbeline""?"	Imogen
"Who pleads to Angelo for the life of her brother Claudio in ""Measure for Measure""?"	Isabella
"Who instigates Posthumus that he has slept with Imogen in ""Cymbeline""?"	Iachimo
"Who sings the song 'All the world is a stage...' in ""As You Like It""?"	Jaques
"Who is Shylock's daughter in ""The Merchant of Venice""?"	Jessica
"Who is presented as a lady of low morals and fakes pregnancy in ""Henry VI Part 1""?"	Joan la Pucelle (Joan of Arc)
"Who follows Proteus disguised as a young man in ""The Two Gentlemen of Verona""?"	Julia
"Who is the title character and beloved of Romeo in ""Romeo and Juliet""?"	Juliet
"Who becomes pregnant by Claudio, leading to his death sentence in ""Measure for Measure""?"	Juliet
"Who becomes emotionally attached to Dumaine in ""Love's Labour's Lost""?"	Katharine
"Who is the 'shrew' of the title in ""The Taming of the Shrew""?"	Katherine
"Who disguises himself as a servant called Caius in ""King Lear""?"	The Earl of Kent
"Who murdered Old Hamlet and married Gertrude in ""Hamlet""?"	King Claudius
Who leads the rebellion against Richard III and later becomes King Henry VII?	The Earl of Richmond
"Who is the son of Polonius and brother of Ophelia in ""Hamlet""?"	Laertes
"Who is raped and mutilated in ""Titus Andronicus""?"	Lavinia
"Who is the exiled husband of Imogen in ""Cymbeline""?"	Posthumus Leonatus
"Who wrongly suspects his wife of infidelity in ""The Winter's Tale""?"	Leontes
"Who elopes with Shylock's daughter, Jessica, in ""The Merchant of Venice""?"	Lorenzo
"Who disguises himself as a Latin master to woo Bianca in ""The Taming of the Shrew""?"	Lucentio
"Who loves Hermia under the influence of loveinidleness in ""A Midsummer Night's Dream""?"	Lysander
"Who kills Macbeth in ""Macbeth""?"	Macduff
"Who is befooled by Maria and others in ""Twelfth Night""?"	Malvolio
"Who invites Horatio to see the ghost of Old Hamlet in ""Hamlet""?"	Marcellus and Barnardo
"Who is a eunuch attending on Cleopatra in ""Antony and Cleopatra""?"	Mardian
"Who is central to Henry VI's army and gets Richard Duke of York executed in the ""Henry VI"" plays?"	Queen Margaret
"Who instigates the plot against Malvolio in ""Twelfth Night""?"	Maria
